KEY;1_PL;2_DEF_PL
// Animal plural forms with definite article.
//
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the singular animal label to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used.
// 1_PL returns the plural form.
// 2_DEF_PL returns the definite plural form with article.

águila;águilas;las águilas
alce;alces;los alces
alfacastor;alfacastores;los alfacastores
alondra;alondras;las alondras
alpaca;alpacas;las alpacas
antílope;antílopes;los antílopes
anguila;anguilas;las anguilas
araña;arañas;las arañas
ardilla;ardillas;las ardillas
arenque;arenques;los arenques
armadillo;armadillos;los armadillos
arrendajo;arrendajos;los arrendajos
avestruz;avestruces;los avestruces
avispa;avispas;las avispas
babuino;babuinos;los babuinos
bacalao;bacalaos;los bacalaos
ballena;ballenas;las ballenas
barracuda;barracudas;las barracudas
bisonte;bisontes;los bisontes
bumalope;bumalopes;los bumalopes
búfalo;búfalos;los búfalos
buitre;buitres;los buitres
burro;burros;los burros
caballo;caballos;los caballos
cabra;cabras;las cabras
capibara;capibaras;las capibaras
cajón;cajones;los cajones
camello;camellos;los camellos
cangrejo;cangrejos;los cangrejos
canguro;canguros;los canguros
caribú;caribúes;los caribúes
casuario;casuarios;los casuarios
castor;castores;los castores
cebra;cebras;las cebras
cerdo;cerdos;los cerdos
chimpancé;chimpancés;los chimpancés
chinchilla;chinchillas;las chinchillas
chivo;chivos;los chivos
ciervo;ciervos;los ciervos
ciervo canadiense;ciervos canadienses;los ciervos canadienses
cisne;cisnes;los cisnes
cobra;cobras;las cobras
cobaya;cobayas;las cobayas
cochinilla;cochinillas;las cochinillas
cochinillo;cochinillos;los cochinillos
cocodrilo;cocodrilos;los cocodrilos
cóndor;cóndores;los cóndores
comadreja;comadrejas;las comadrejas
coneja;conejas;las conejas
conejo;conejos;los conejos
cormorán;cormoranes;los cormoranes
coyote;coyotes;los coyotes
cuervo;cuervos;los cuervos
delfín;delfines;los delfines
dromedario;dromedarios;los dromedarios
elefante;elefantes;los elefantes
emú;emúes;los emúes
erizo;erizos;los erizos
escarabajo;escarabajos;los escarabajos
estornino;estorninos;los estorninos
faisán;faisanes;los faisanes
flamenco;flamencos;los flamencos
foca;focas;las focas
gacela;gacelas;las gacelas
gallina;gallinas;las gallinas
ganso;gansos;los gansos
garza;garzas;las garzas
gato;gatos;los gatos
gaviota;gaviotas;las gaviotas
gorila;gorilas;los gorilas
guajolote;guajolotes;los guajolotes
guanaco;guanacos;los guanacos
guepardo;guepardos;los guepardos
hipopótamo;hipopótamos;los hipopótamos
hiena;hienas;las hienas
íbice;íbices;los íbices
iguana;iguanas;las iguanas
jabalí;jabalíes;los jabalíes
jerbo;jerbos;los jerbos
jirafa;jirafas;las jirafas
koala;koalas;los koalas
komodo;komodos;los komodos
lechuza;lechuzas;las lechuzas
lémur;lémures;los lémures
leopardo;leopardos;los leopardos
liebre;liebres;las liebres
liebre blanca;liebres blancas;las liebres blancas
llama;llamas;las llamas
lince;linces;los linces
lobo ártico;lobos árticos;los lobos árticos
lobo pardo;lobos pardos;los lobos pardos
loro;loros;los loros
mangosta;mangostas;las mangostas
manatí;manatíes;los manatíes
mapache;mapaches;los mapaches
marsopa;marsopas;las marsopas
medusa;medusas;las medusas
megaperezoso;megaperezosos;los megaperezosos
mono;monos;los monos
morsa;morsas;las morsas
mosquito;mosquitos;los mosquitos
mula;mulas;las mulas
musaraña;musarañas;las musarañas
múfalo;múffalos;los múffalos
nutria;nutrias;las nutrias
ñu;ñúes;los ñúes
okapi;okapis;los okapis
oso pardo;osos pardos;los osos pardos
oso polar;osos polares;los osos polares
oveja;ovejas;las ovejas
pájaro;pájaros;los pájaros
paloma;palomas;las palomas
panda;pandas;los pandas
pantera;panteras;las panteras
pato;patos;los patos
pavo;pavos;los pavos
pelícano;pelícanos;los pelícanos
perezoso;perezosos;los perezosos
perro;perros;los perros
pingüino;pingüinos;los pingüinos
piojo;piojos;los piojos
pollo;pollos;los pollos
poni;ponis;los ponis
pulpo;pulpos;los pulpos
puma;pumas;los pumas
rana;ranas;las ranas
rata;ratas;las ratas
rata-bum;ratas-bum;las ratas-bum
reno;renos;los renos
rinoceronte;rinocerontes;los rinocerontes
salamandra;salamandras;las salamandras
sapo;sapos;los sapos
sardina;sardinas;las sardinas
serpiente;serpientes;las serpientes
simio;simios;los simios
suricata;suricatas;las suricatas
tarsero;tarseros;los tarseros
tigre;tigres;los tigres
tortuga;tortugas;las tortugas
topo;topos;los topos
trucha;truchas;las truchas
trumbo;trumbos;los trumbos
urraca;urracas;las urracas
vaca;vacas;las vacas
víbora;víboras;las víboras
wargo;wargos;los wargos
yak;yaks;los yaks
zarigüeya;zarigüeyas;las zarigüeyas
zorrillo;zorrillos;los zorrillos
zorra;zorras;las zorras
zorro ártico;zorros árticos;los zorros árticos
zorro del desierto;zorros del desierto;los zorros del desierto
zorro rojo;zorros rojos;los zorros rojos
