KEY;1_NOM;2_GEN;3_DAT;4_ACC;5_NOM_ART;6_GEN_ART;7_DAT_ART;8_ACC_ART
// Book subject forms derived from ResearchProjectDef subjects.
//
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the book subject to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used.
// 1_NOM returns the nominative form with article when needed by titles.
// 2_GEN returns the genitive form.
// 3_DAT returns the dative form.

abducción psíquica;la abducción psíquica;de la abducción psíquica;a la abducción psíquica;a la abducción psíquica;la abducción psíquica;de la abducción psíquica;a la abducción psíquica;a la abducción psíquica
aire acondicionado;el aire acondicionado;del aire acondicionado;al aire acondicionado;al aire acondicionado;el aire acondicionado;del aire acondicionado;al aire acondicionado;al aire acondicionado
albañilería;la albañilería;de la albañilería;a la albañilería;a la albañilería;la albañilería;de la albañilería;a la albañilería;a la albañilería
alimentos no perecederos;los alimentos no perecederos;de los alimentos no perecederos;a los alimentos no perecederos;a los alimentos no perecederos;los alimentos no perecederos;de los alimentos no perecederos;a los alimentos no perecederos;a los alimentos no perecederos
arcos largos;los arcos largos;de los arcos largos;a los arcos largos;a los arcos largos;los arcos largos;de los arcos largos;a los arcos largos;a los arcos largos
armadura de placas;la armadura de placas;de la armadura de placas;a la armadura de placas;a la armadura de placas;la armadura de placas;de la armadura de placas;a la armadura de placas;a la armadura de placas
armaduras de explorador;las armaduras de explorador;de las armaduras de explorador;a las armaduras de explorador;a las armaduras de explorador;las armaduras de explorador;de las armaduras de explorador;a las armaduras de explorador;a las armaduras de explorador
armamento arqueoteca mutante;el armamento arqueoteca mutante;del armamento arqueoteca mutante;al armamento arqueoteca mutante;al armamento arqueoteca mutante;el armamento arqueoteca mutante;del armamento arqueoteca mutante;al armamento arqueoteca mutante;al armamento arqueoteca mutante
armamento bioférrico;el armamento bioférrico;del armamento bioférrico;al armamento bioférrico;al armamento bioférrico;el armamento bioférrico;del armamento bioférrico;al armamento bioférrico;al armamento bioférrico
armamento compacto;el armamento compacto;del armamento compacto;al armamento compacto;al armamento compacto;el armamento compacto;del armamento compacto;al armamento compacto;al armamento compacto
armamento de la locura arqueoteca;el armamento de la locura arqueoteca;del armamento de la locura arqueoteca;al armamento de la locura arqueoteca;al armamento de la locura arqueoteca;el armamento de la locura arqueoteca;del armamento de la locura arqueoteca;al armamento de la locura arqueoteca;al armamento de la locura arqueoteca
armamento medieval;el armamento medieval;del armamento medieval;al armamento medieval;al armamento medieval;el armamento medieval;del armamento medieval;al armamento medieval;al armamento medieval
armamento pesado;el armamento pesado;del armamento pesado;al armamento pesado;al armamento pesado;el armamento pesado;del armamento pesado;al armamento pesado;al armamento pesado
armas de fuego de alta potencia;las armas de fuego de alta potencia;de las armas de fuego de alta potencia;a las armas de fuego de alta potencia;a las armas de fuego de alta potencia;las armas de fuego de alta potencia;de las armas de fuego de alta potencia;a las armas de fuego de alta potencia;a las armas de fuego de alta potencia
armas de fuego simples;las armas de fuego simples;de las armas de fuego simples;a las armas de fuego simples;a las armas de fuego simples;las armas de fuego simples;de las armas de fuego simples;a las armas de fuego simples;a las armas de fuego simples
armas de rayos;las armas de rayos;de las armas de rayos;a las armas de rayos;a las armas de rayos;las armas de rayos;de las armas de rayos;a las armas de rayos;a las armas de rayos
arpas;las arpas;de las arpas;a las arpas;a las arpas;las arpas;de las arpas;a las arpas;a las arpas
artillería;la artillería;de la artillería;a la artillería;a la artillería;la artillería;de la artillería;a la artillería;a la artillería
baterías;las baterías;de las baterías;a las baterías;a las baterías;las baterías;de las baterías;a las baterías;a las baterías
bengalas de bioferrita;las bengalas de bioferrita;de las bengalas de bioferrita;a las bengalas de bioferrita;a las bengalas de bioferrita;las bengalas de bioferrita;de las bengalas de bioferrita;a las bengalas de bioferrita;a las bengalas de bioferrita
biocombustible;el biocombustible;del biocombustible;al biocombustible;al biocombustible;el biocombustible;del biocombustible;al biocombustible;al biocombustible
bioferrita;la bioferrita;de la bioferrita;a la bioferrita;a la bioferrita;la bioferrita;de la bioferrita;a la bioferrita;a la bioferrita
biónica curativa;la biónica curativa;de la biónica curativa;a la biónica curativa;a la biónica curativa;la biónica curativa;de la biónica curativa;a la biónica curativa;a la biónica curativa
biónica de análisis molecular;la biónica de análisis molecular;de la biónica de análisis molecular;a la biónica de análisis molecular;a la biónica de análisis molecular;la biónica de análisis molecular;de la biónica de análisis molecular;a la biónica de análisis molecular;a la biónica de análisis molecular
biónica venenosa;la biónica venenosa;de la biónica venenosa;a la biónica venenosa;a la biónica venenosa;la biónica venenosa;de la biónica venenosa;a la biónica venenosa;a la biónica venenosa
biorregeneración;la biorregeneración;de la biorregeneración;a la biorregeneración;a la biorregeneración;la biorregeneración;de la biorregeneración;a la biorregeneración;a la biorregeneración
bombas de humedad;las bombas de humedad;de las bombas de humedad;a las bombas de humedad;a las bombas de humedad;las bombas de humedad;de las bombas de humedad;a las bombas de humedad;a las bombas de humedad
