KEY;1_NOM;2_GEN;3_DAT;4_ACC;5_NOM_ART;6_GEN_ART;7_DAT_ART;8_ACC_ART
// Plural declension (without and with article)
// NOTE: Ingame pluralization use this file automatically (always index 1).
//
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; plural; 2} looks up 2_GEN.
//

//Plants
adelfilla;adelfillas
agarilux;agariluxes
algodón silvestre;algodones silvestres
árbol antipolu;árboles antipolu
árbol arqueano;árboles arqueanos
árbol de arce;árboles de arce
árbol de bambú;árboles de bambú
árbol de cacao silvestre;árboles de cacao silvestres
árbol de cacao;árboles de cacao
árbol de cecropia;árboles de cecropia
árbol de navidad;árboles de navidad
árbol de teca;árboles de teca
árbol drago;árboles drago
arbusto de ambrosía;arbustos de ambrosía
arbusto de bayas;arbustos de bayas
arbusto pequeño;arbustos pequeños
arbusto;arbustos
bagre;bagres
branquisauce;branquisauces
bumaseta;bumasetas
cactus petrificado;cactus petrificados
cañas;cañas
fibromaíz silvestre;fibromaíces silvestres
fibromaíz;fibromaíces
hierba gris;hierbas grises
hierba nocturna;hierbas nocturnas
hongo de hilodiablo;hongos de hilodiablo
junco;juncos
lirio de día;lirios de día
loto;lotos
matorral espinoso;matorrales espinosos
nenúfar;nenúfares
nutrihongo;nutrihongos
pino grisáceo;pinos grisáceos
planta de algodón;plantas de algodón
planta de arroz;plantas de arroz
planta de fresa silvestre;plantas de fresa silvestres
planta de fresa;plantas de fresa
planta de heno;plantas de heno
planta de maíz;plantas de maíz
planta de patata;plantas de patata
planta de toxipatatas;plantas de toxipatatas
planta psicoide silvestre;plantas psicoides silvestres
planta psicoide;plantas psicoides
psilofungo;psilofungos
tintoria silvestre;tintorias silvestres
tocón arqueano aplastado;tocones arqueanos aplastados
tocón arqueano talado;tocones arqueanos talados
torreta de cargas;torretas de cargas
torreta de miniproyectiles;torretas de miniproyectiles
torreta inferno;torretas inferno
//charges
bomba de espuma cortafuego;bombas de espuma cortafuego
bomba de humo;bombas de humo
carga de espuma;cargas de espuma
carga de humo;cargas de humo
carga del quemador;cargas del quemador
carga;cargas
escudo;escudos
granada de fragmentación;granadas de fragmentación
salto;saltos
//misc

esquirla arqueoteca;esquirlas arqueotecas
//Anomaly
cánticos de odio;cánticos de odio
placas necrófagas;placas necrófagas
púas necrófagas;púas necrófagas
seguidores del vacío;seguidores del vacío
