KEY;1_NOM;2_GEN;3_DAT;4_ACC;5_NOM_ART;6_GEN_ART;7_DAT_ART;8_ACC_ART
// Ideology relic thing labels with article-aware forms.
//
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the relic thing label to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used.
// 1_NOM returns the base noun.
// 5_NOM_ART returns the nominative form with indefinite article.

arcón;arcón;arcón;arcón;arcón;un arcón;de un arcón;a un arcón;un arcón
cajón;cajón;cajón;cajón;cajón;un cajón;de un cajón;a un cajón;un cajón
cubo;cubo;cubo;cubo;cubo;un cubo;de un cubo;a un cubo;un cubo
cáliz;cáliz;cáliz;cáliz;cáliz;un cáliz;de un cáliz;a un cáliz;un cáliz
fragmento;fragmento;fragmento;fragmento;fragmento;un fragmento;de un fragmento;a un fragmento;un fragmento
colgante;colgante;colgante;colgante;colgante;un colgante;de un colgante;a un colgante;un colgante
empuñadura;empuñadura;empuñadura;empuñadura;empuñadura;una empuñadura;de una empuñadura;a una empuñadura;una empuñadura
tablilla;tablilla;tablilla;tablilla;tablilla;una tablilla;de una tablilla;a una tablilla;una tablilla
